IBB					
Date	Open	High	Low	Close	Indicator
28.11.2008	70.438	73.2512	56.4018	64.5057	-11.53%
31.12.2008	64.2293	70.517	60.0046	70.132	3.30%
30.01.2009	69.6188	71.9779	66.7562	69.8162	-7.11%
27.02.2009	68.9081	74.031	61.9788	62.2551	-16.08%
31.03.2009	60.9423	67.4669	58.0107	65.4928	-2.68%
30.04.2009	63.6963	66.9438	61.6135	64.6439	-3.63%
29.05.2009	64.5156	66.8253	62.8474	66.7562	3.34%
30.06.2009	67.6545	72.4319	66.9734	71.8199	5.86%
31.07.2009	71.8002	79.5093	67.8025	77.7326	9.27%
31.08.2009	78.1373	78.8677	73.8138	77.2686	7.64%
30.09.2009	76.9626	82.9147	75.7979	80.3088	10.16%
30.10.2009	80.1608	80.3582	72.0568	72.4319	-2.52%
30.11.2009	73.1821	78.769	72.195	77.3969	9.88%
31.12.2009	77.4068	81.4835	76.8146	80.7728	7.06%
29.01.2010	81.4045	85.2344	80.8813	82.204	3.10%
26.02.2010	82.2336	84.8889	79.0454	84.2966	4.73%
31.03.2010	84.8494	92.3216	84.7704	89.7651	8.25%
30.04.2010	90.4165	91.7491	87.6823	90.0513	8.32%
28.05.2010	90.9792	91.453	69.0956	80.1805	-6.11%
30.06.2010	78.8677	83.428	76.0052	76.5184	-4.80%
30.07.2010	76.3901	81.6513	73.5375	79.9831	2.12%
31.08.2010	80.753	83.7143	76.785	77.5648	-4.68%
30.09.2010	78.4729	86.4965	78.4729	85.6327	5.40%
29.10.2010	86.2086	89.6144	84.6	88.6711	1.85%
30.11.2010	89.1279	89.4655	85.8809	86.7845	1.33%
31.12.2010	87.7973	94.331	87.5987	92.7621	11.67%
31.01.2011	93.2486	96.7339	92.1663	93.06	5.66%
28.02.2011	93.7451	95.2941	91.2727	94.0132	7.75%
31.03.2011	94.2317	99.5142	92.2259	99.4546	9.24%
29.04.2011	100.1497	108.8381	99.4447	106.6933	11.63%
31.05.2011	106.9018	109.2452	104.052	108.5898	9.56%
30.06.2011	108.4707	108.6991	100.666	105.9089	3.08%
29.07.2011	105.4422	109.2253	101.1129	103.1683	1.90%
31.08.2011	104.8663	105.1641	83.3687	95.5324	-4.40%
30.09.2011	95.3537	98.839	89.8924	92.6926	-4.25%
31.10.2011	91.6897	99.8419	87.0526	97.5382	0.62%
30.11.2011	96.1679	101.6391	91.501	101.4803	0.51%
30.12.2011	101.5796	104.1754	97.9056	103.6292	0.69%
31.01.2012	104.8011	115.9535	103.5398	115.1987	11.33%
29.02.2012	116.5494	121.6042	114.8412	118.2376	9.68%
30.03.2012	118.039	123.8265	115.0299	122.4756	13.10%
30.04.2012	122.7935	125.8032	115.6515	124.5516	10.36%
31.05.2012	124.2238	126.0515	114.2013	122.3862	5.71%
29.06.2012	120.2009	129.4501	117.4991	129.281	12.01%
31.07.2012	129.7287	138.0251	126.7742	133.1109	7.16%
31.08.2012	133.9465	135.9858	128.7538	135.6675	6.19%
28.09.2012	136.0256	144.4712	135.0706	142.179	8.56%
31.10.2012	142.7872	148.1119	131.1708	131.4899	-3.16%
30.11.2012	131.6195	139.8557	125.2679	138.3501	7.83%
31.12.2012	139.8258	141.4611	133.9212	136.9247	1.28%
31.01.2013	140.008	147.0528	139.1698	145.2667	7.11%
28.02.2013	146.0949	148.3101	142.8419	147.4719	3.91%
28.03.2013	146.1747	159.8452	146.1348	159.5858	9.56%
30.04.2013	160.1646	176.6889	156.8417	171.9392	15.41%
31.05.2013	172.1886	186.5776	170.4424	179.1137	12.60%
28.06.2013	179.1736	179.912	163.7867	173.578	6.86%
31.07.2013	177.8206	198.854	176.9022	197.4864	21.17%
30.08.2013	199.7026	201.1201	186.7251	193.4035	9.00%
30.09.2013	197.1171	212.1309	195.1605	209.236	15.83%
31.10.2013	210.8532	213.4087	190.9578	204.9734	5.05%
29.11.2013	205.8519	224.7091	197.0971	223.7707	14.42%
31.12.2013	223.1418	227.7138	212.2008	226.6656	11.06%
31.01.2014	225.338	253.6687	221.9039	245.4829	13.64%
28.02.2014	246.571	274.9217	232.5255	263.9608	17.18%
31.03.2014	258.6101	270.13	228.2928	235.9894	-2.80%
30.04.2014	238.2954	244.9938	207.1197	229.8501	2.31%
30.05.2014	229.4608	241.8592	219.6578	239.1739	5.00%
30.06.2014	239.5932	259.4187	235.8397	256.9789	9.42%
31.07.2014	258.8386	266.377	242.3118	250.7801	-0.89%
29.08.2014	249.3404	276.655	247.3008	276.495	8.42%
30.09.2014	277.9647	280.07	263.5876	273.63	4.63%
31.10.2014	272.45	302.98	247.86	296.62	15.28%
28.11.2014	297.24	307.16	286.11	303.9	10.66%
31.12.2014	302.65	319.14	292.04	303.35	5.89%
30.01.2015	306.39	329.2	298.04	321.65	13.44%
27.02.2015	323.65	341.49	305.01	337.47	10.63%
31.03.2015	337.23	374.97	333.78	343.43	9.68%
30.04.2015	342.68	368.25	330.6	333.66	2.27%
29.05.2015	338.76	367.84	336.81	365.03	12.97%
19.06.2015	367	379.16	357.8	377.49	10.42%
